feature,importance,importance_pct,cumulative_pct,category
b_roll25_whiff_rate,84.0,0.25957170668397145,95.24118537746054,Batter Rolling
p_st_velo_avg,82.0,0.2533914279534007,95.49457680541394,Pitch Characteristics
b_velo_90_93_pitches,82.0,0.2533914279534007,95.74796823336735,Batter Profile
p_st_hmov_avg,78.0,0.24103087049225919,95.9889991038596,Pitch Characteristics
b_roll100_whiff_rate,76.0,0.23485059176168846,96.22384969562128,Batter Rolling
p_st_spin_avg,68.0,0.21012947683940547,96.43397917246068,Pitch Characteristics
b_vs_sl_contact_pct,66.0,0.2039491981088347,96.63792837056951,Batter vs Pitch Type
b_roll50_whiff_rate,65.0,0.2008590587435493,96.83878742931306,Batter Rolling
b_vs_ch_contact_pct,65.0,0.2008590587435493,97.0396464880566,Batter vs Pitch Type
p_fs_usage_pct,65.0,0.2008590587435493,97.24050554680015,Pitch Usage
b_contact_pct,62.0,0.1915886406476932,97.43209418744785,Batter Profile
b_vs_st_contact_pct,60.0,0.18540836191712246,97.61750254936497,Batter vs Pitch Type
b_vs_ff_contact_pct,59.0,0.1823182225518371,97.79982077191681,Batter vs Pitch Type
b_vs_cu_contact_pct,54.0,0.16686752572541022,97.96668829764222,Batter vs Pitch Type
b_vs_fc_contact_pct,47.0,0.1452365501684126,98.11192484781063,Batter vs Pitch Type
p_fs_whiff_pct,47.0,0.1452365501684126,98.25716139797903,Pitcher Whiff
b_vs_si_contact_pct,46.0,0.14214641080312723,98.39930780878215,Batter vs Pitch Type
p_fs_hmov_avg,45.0,0.13905627143784186,98.53836408021999,Pitch Characteristics
b_vs_kc_contact_pct,44.0,0.13596613207255648,98.67433021229255,Batter vs Pitch Type
b_vs_fs_contact_pct,41.0,0.12669571397670035,98.80102592626925,Batter vs Pitch Type
p_kc_spin_avg,39.0,0.12051543524612959,98.92154136151538,Pitch Characteristics
p_fs_vmov_avg,38.0,0.11742529588084423,99.03896665739623,Pitch Characteristics
matchup_LvR,35.0,0.1081548777849881,99.14712153518121,Handedness
p_fs_velo_avg,32.0,0.09888445968913198,99.24600599487034,Pitch Characteristics
p_kc_usage_pct,29.0,0.08961404159327585,99.33562003646362,Pitch Usage
p_kc_vmov_avg,27.0,0.08343376286270511,99.41905379932633,Pitch Characteristics
p_kc_hmov_avg,27.0,0.08343376286270511,99.50248756218905,Pitch Characteristics
p_kc_whiff_pct,26.0,0.08034362349741973,99.58283118568646,Pitcher Whiff
p_throws_R,26.0,0.08034362349741973,99.66317480918387,Handedness
p_fs_spin_avg,24.0,0.07416334476684898,99.73733815395072,Pitch Characteristics
p_kc_velo_avg,23.0,0.07107320540156362,99.80841135935228,Pitch Characteristics
matchup_RvL,20.0,0.06180278730570749,99.87021414665799,Handedness
matchup_LvL,16.0,0.04944222984456599,99.91965637650256,Handedness
p_sv_usage_pct,7.0,0.021630975556997622,99.94128735205956,Pitch Usage
p_sv_vmov_avg,5.0,0.015450696826426873,99.95673804888598,Pitch Characteristics
b_vs_sv_contact_pct,3.0,0.009270418095856122,99.96600846698183,Batter vs Pitch Type
p_sv_hmov_avg,3.0,0.009270418095856122,99.97527888507769,Pitch Characteristics
p_sv_velo_avg,2.0,0.006180278730570749,99.98145916380825,Pitch Characteristics
p_sv_spin_avg,2.0,0.006180278730570749,99.98763944253882,Pitch Characteristics
p_kn_spin_avg,2.0,0.006180278730570749,99.99381972126939,Pitch Characteristics
p_throws_L,1.0,0.0030901393652853744,99.99690986063467,Handedness
p_sv_whiff_pct,1.0,0.0030901393652853744,99.99999999999996,Pitcher Whiff
stand_L,0.0,0.0,99.99999999999996,Handedness
b_vs_kn_contact_pct,0.0,0.0,99.99999999999996,Batter vs Pitch Type
b_roll100_hard_hit_rate,0.0,0.0,99.99999999999996,Batter Rolling
p_kn_usage_pct,0.0,0.0,99.99999999999996,Pitch Usage
b_vs_kn_whiff_pct,0.0,0.0,99.99999999999996,Batter vs Pitch Type
p_kn_velo_avg,0.0,0.0,99.99999999999996,Pitch Characteristics
p_kn_vmov_avg,0.0,0.0,99.99999999999996,Pitch Characteristics
p_kn_hmov_avg,0.0,0.0,99.99999999999996,Pitch Characteristics
p_kn_whiff_pct,0.0,0.0,99.99999999999996,Pitcher Whiff
same_hand,0.0,0.0,99.99999999999996,Handedness
